Erfolgreichste Anzeigen und Beiträge;;;;;;;;
;;;;;;;;
;;;;;;;;
Content;;;;;;;;
Titel des Beitrags;Zeitpunkt der Veröffentlichung;Reichweite; Gefällt mir -Angaben und Reaktionen;Kommentare;Geteilte Inhalte;Ergebnisse;Kosten pro Ergebnis;Link-Klicks
"Shirts incoming! Die gibt's in kleiner Auflage neu bei uns. >ØÝ

Welches Shirt gefällt euch am besten? 

(Was nicht passt, wird übrigens passend gemacht. Denn ihr könnt eure Shirts bei uns kostenlos umtauschen.)

#elbenwald #nerdshirts";2021-05-25T04:25:15;42148;1339;17;;;;
"""Ich will lieber ein einziges Leben mit dir verbringen, als alle Zeitalter der Welt allein zu durchleben. Und so wähle ich ein sterbliches Leben."" d'

#arwensabendstern #arwenundaragon #aragorn #herrderringe";2021-05-24T09:12:39;58017;3088;77;;;;
"Was ist das da vorne auf dem Tisch? Ist das etwa ... ja, Harrys Zauberstab! Sollte ich es wagen ... ?

#harrypotter #harrypotterzauberstab #elbenwald";2021-05-24T06:38:47;31238;1387;7;;;;
"Happy Shoutout Sunday!
An einem extra langen Wochenende lassen wir einfach mal die Seele baumeln wie unsere Fotogtaf*innen. =Ø
Þ An dieser Stelle vielen Dank für eure tollen Beiträge! d'þ

Wie verbringt ihr euer langes Wochenende?

#elbenwald #elbenwaldshoutoutsunday";2021-05-23T09:06:58;91148;5748;37;;;;
"Ein gemütlicher Zeitvertreib aus zivilisierteren Tagen...

#starwars #stricken #strickbuch #strickliebe";2021-05-23T04:43:42;65903;2908;124;;;;
"""Ich war da Gandalf ... ich war da vor 3.000 Teilen.""

#herrderringe #mittelerde #puzzle #puzzleliebe #elbenwald";2021-05-22T06:34:27;50524;2084;59;;;;
"Manchmal sind Tee, ein paar Kekse und eine neue Lieblingstasse einfach das beste. 
Groot: ""Voll groooot!"" 

#groot #ichbingroot #guardiansofthegalaxy #marvel";2021-05-22T04:33:13;31650;2183;26;;;;
"Ihr wollt die Herrschaft über die Mandalorianer für euch beanspruchen? Dann braucht ihr   das hier!

Und welche fiktive Waffe würdet ihr gern euer Eigen nennen?

#starwars #themandalorian #dunkelschwert #darksaber #lichtschwert";2021-05-21T09:00:26;22701;760;22;;;;
"Wir sind so aufgeregt: Die ersten Elbenwald Stores haben wieder geöffnet! d' Aktuell könnt ihr uns in Münster, Braunschweig, Hannover, Kiel, Berlin Erfurt und Essen besuchen, ab morgen geht's auch in Hamburg wieder rund. Nächste Woche folgt Mannheim und in Österreich haben unsere Stores bereits geöffnet. >ØÝ

Logisch: Ihr braucht einen negativen Corona-Test (außer in Hamburg und Münster) und  ne Maske, auf Abstand und Hygiene achten wir sowieso. Die Rückkehr zur Normalität können wir also noch nicht einläuten, aber es ist ein Anfang. Und wir für unseren Teil freuen uns, endlich wieder normale Leute zu treffen: Nerds! >ØÝ

#elbenwald #elbenwaldstore";2021-05-21T00:12:23;46119;2365;43;;;;
"Wer ist eigentlich euer liebster Naruto Charakter? 

#naruto #narutoshippuden #sasuke #sasukeuchiha #narutomerch";2021-05-20T05:53:45;41802;1641;95;;;;
"Wer sagt, dass Haarbürsten nur für Haare da sind?  Man braucht einfach nur eine meeeeenge Fantasie und schon kann man ein ganzes Konzert mit ihnen spielen! 

#starwars #themandalorian #grogu #thechild #babyyoda #elbenwald";2021-05-19T07:45:08;22923;651;0;;;;
"""Romanes eunt domus!""

""Menschen genannt Romanes gehen das Haus?""

""Es soll heißen: Römer, geht nach Haus!""

""Heißt es aber nicht.""

#daslebendesbrian #monthypython #volksfrontvonjudäa #romaniitedomum";2021-05-18T08:42:30;42295;1724;59;;;;
"Seit Harrys erstem Schuljahr auf Hogwarts flattert Hedwig treu und aufopfernd an Harrys Seite. >Ø‰Ý 
Sie weiß ganz genau um ihre Qualitäten als fleißige Posteule und findet den Weg zu jedem noch so versteckten Kontakt. (Tatze *hust*) 
Ihren Stolz sollte man jedoch nicht verletzen, sonst zeigt sie dir womöglich die kalte Schulter. Am besten lockst du sie dann mit einem Stückchen Toast. >ØjÝ

#hedwig #harrypotter #hogwarts #postowls #owlpost";2021-05-17T08:31:42;39770;2471;15;;;;
"Happy Shoutout Sunday! 
Den Sonntag versüßen wir euch wie immer mit ein paar Bildern aus der Community. Vielen Dank an die Fotograf*innen! d'

Hattet ihr ein schönes Wochenende? >ØÝ 

#elbenwald #elbenwaldshoutoutsunday";2021-05-16T10:05:51;46106;2906;20;;;;
"Besiege den Hunger-Endboss mit diesem kreativen Kochbuch! Mit über 30 Rezepte, von süß bis herzhaft, ist alles dabei, was das Gamer- und Schlemmerherz höher schlagen lässt. 

Welches Gericht aus einem Videospiel würdet ihr gerne mal essen?

#kochen #kochbuchliebe #gaming #elbenwald";2021-05-16T06:57:32;68124;2037;60;;;;
